Rank,Company,,Sector,Industry,Profitable,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCapF1,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CompanyType,MarketCapF2
872,Federated Mutual Insurance,,Financials,Insurance: Property and Casualty (Mutual),yes,40,yes,no,,no,no,no,2922,,3098.7,8.4,422.8,3.6,12190,Private,
873,G-III Apparel Group,,Apparel,Apparel,yes,-8,no,yes,,no,no,no,4050,1317.6,3098.2,-4,176.2,,2681.2,Public,1318
874,Vontier,,Technology,"Electronics, Electrical Equip.",yes,-4,no,yes,,no,no,no,8000,6980.9,3095.2,-2.8,376.9,-6.1,4294,Public,6981
875,Matson,,Transportation,Shipping,yes,-163,no,yes,,no,no,no,4315,3876.4,3094.6,-28.7,297.1,-72.1,4294.6,Public,3876
876,Kirby,,Transportation,Shipping,yes,48,yes,no,,no,no,no,5450,5573.5,3091.6,11,222.9,82.3,5722.2,Public,5574
877,Kaiser Aluminum,,Materials,Metals,yes,-47,no,yes,,no,no,no,4000,1431.2,3087,-9.9,47.2,,2267.4,Public,1431
878,Vista Outdoor,,Business Services,"Toys, Sporting Goods",no,7,yes,no,,no,no,no,7000,1906.1,3079.8,1.2,-9.7,-102.1,2798.9,Public,1906
879,Designer Brands,,Retailing,Specialty Retailers: Apparel,yes,-30,no,yes,,no,no,no,14000,625.6,3075,-7.3,29.1,-82.1,2076.2,Public,626
880,Rollins,,Business Services,Diversified Outsourcing Services,yes,66,yes,no,,no,no,no,19031,22419.4,3073.3,14,435,18,2595.5,Public,22419
881,Advanced Drainage Systems,,Materials,"Building Materials, Glass",yes,49,yes,no,,no,no,no,5870,13368.7,3071.1,10.9,507.1,86.9,2901.1,Public,13369
882,Cinemark Holdings,,Media,Entertainment,yes,111,yes,no,,no,no,no,17888,2188.3,3066.7,24.9,188.2,,4836.8,Public,2188
883,CrowdStrike,,Technology,Computer Software,yes,0,no,no,,no,no,yes,7925,77540.7,3055.6,36.3,89.3,,6646.5,Public,77541
884,Pinterest,,Technology,Internet Services and Retailing,no,33,yes,no,,no,no,no,4014,23540.4,3055.1,9,-35.6,,3594.4,Public,23540
885,Instacart,,Retailing,Internet Services and Retailing,no,0,no,no,,no,no,no,3380,9937.7,3042,19.2,-1622,-479,4727,Public,9938
886,Hillenbrand,,Industrials,Industrial Machinery,yes,16,yes,no,,no,no,no,10400,3527.9,3039.7,3.4,569.7,172.7,5547.7,Public,3528
887,Allison Transmission Holdings,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,44,yes,no,,no,no,no,3700,7110.6,3035,9.6,673,26.7,5025,Public,7111
888,RH,,Retailing,Specialty Retailers: Other,yes,-86,no,yes,,no,no,no,5645,6378.6,3029.1,-15.6,127.6,-75.9,4143.9,Public,6379
889,Brookdale Senior Living,,Health Care,Health Care: Medical Facilities,no,24,yes,no,,no,no,no,30600,1251.5,3015.8,6.7,-189,,5573.4,Public,1252
890,QuidelOrtho,,Health Care,Medical Products and Equipment,no,-31,no,yes,,no,no,no,7100,3204.8,2997.8,-8.2,-10.1,-101.8,8563.1,Public,3205
891,Trinity Industries,,Transportation,Transportation Equipment,yes,0,no,no,,no,no,no,9480,2279.8,2983.3,50.9,106,76.4,8906.5,Public,2280
892,Teleflex,,Health Care,Medical Products and Equipment,yes,29,yes,no,,no,no,no,14500,10642.8,2974.5,6.6,356.3,-1.9,7532.5,Public,10643
893,HEICO,,Aerospace & Defense,Aerospace & Defense,yes,0,no,no,,no,no,no,9600,23341.3,2968.1,34.4,403.6,14.8,7195.1,Public,23341
894,Bruker,,Technology,"Scientific,Photographic and  Control Equipment",yes,86,yes,no,,no,no,no,9707,12932.8,2964.5,17.1,427.2,44,4249.9,Public,12933
895,Carlyle Group,,Financials,Securities,no,-195,no,yes,,no,no,no,2200,16986.8,2963.9,-33.2,-608.4,-149.7,21176,Public,16987
896,Energizer Holdings,,Household Products,Household and Personal Products,yes,-12,no,yes,,no,no,no,5080,2113.3,2959.7,-3,140.5,,4509.6,Public,2113
897,Quad/Graphics,,Media,"Publishing, Printing",no,-31,no,yes,,no,no,no,13150,277.6,2957.7,-8.1,-55.4,-695.7,1509.7,Public,278
898,Rackspace Technology,,Technology,Internet Services and Retailing,no,-21,no,yes,,no,no,no,5800,347.2,2957.1,-5.3,-837.8,,4096.2,Public,347
899,Waters,,Technology,"Scientific,Photographic and  Control Equipment",yes,-2,no,yes,,no,no,no,7900,20379.3,2956.4,-0.5,642.2,-9.3,4626.9,Public,20379
900,West Pharmaceutical Services,,Health Care,Medical Products and Equipment,yes,8,yes,no,,no,no,no,10600,28968.1,2949.8,2.2,593.4,1.3,3829.5,Public,28968
901,Carter's,,Apparel,Apparel,yes,-34,no,yes,,no,no,no,15230,3089.2,2945.6,-8.3,232.5,-7,2378.6,Public,3089
902,NeueHealth,,Health Care,Health Care: Insurance and Managed Care,no,-355,no,yes,,no,no,no,1252,52.4,2938.1,-53.9,-1151.5,,1225.5,Public,52
903,SkyWest,,Transportation,Airlines,yes,-9,no,yes,,no,no,no,12296,2788.3,2935.4,-2.3,34.3,-52.9,7026.3,Public,2788
904,Acadia Healthcare,,Health Care,Health Care: Medical Facilities,no,58,yes,no,,no,no,no,20250,7322.1,2928.7,12.2,-21.7,-107.9,5358.8,Public,7322
905,Revvity,,Health Care,Medical Products and Equipment,yes,-223,no,yes,,no,no,no,11500,12970.1,2926.9,-36.5,693.1,21.8,13564.7,Public,12970
906,Portland General Electric,,Energy,Utilities: Gas and Electric,yes,46,yes,no,,no,no,no,2842,4251.3,2923,10.4,228,-2.1,11208,Public,4251
907,Woodward,,Aerospace & Defense,Aerospace & Defense,yes,0,no,no,,no,no,no,8800,9293.2,2914.6,22.3,232.4,35.3,4010.2,Public,9293
908,TEGNA,,Media,Entertainment,yes,-52,no,yes,,no,no,no,6200,2631,2910.9,-11.2,476.7,-24.4,7000.1,Public,2631
909,Sabre,,Retailing,Internet Services and Retailing,no,70,yes,no,,no,no,no,6232,918.4,2907.7,14.6,-527.6,,4672.2,Public,918
910,Light & Wonder,,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,0,no,no,,no,no,no,6500,9170.7,2902,0.7,163,-95.6,5552,Public,9171
911,Vail Resorts,,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,70,yes,no,,no,no,no,32100,8460.4,2889.4,14.4,268.1,-22.9,5947.8,Public,8460
912,Radius Recycling,,Materials,Metals,no,-88,no,yes,,no,no,no,3353,588.7,2882.2,-17.3,-25.8,-115.3,1715.9,Public,589
913,PennyMac Financial Services,,Financials,Diversified Financials,yes,52,yes,no,,no,no,no,3914,4593.5,2881.8,10.9,144.7,-69.6,18844.6,Public,4594
914,Saia,,Transportation,"Trucking, Truck Leasing",yes,6,yes,no,,no,no,no,14000,15554,2881.4,3.2,354.9,-0.7,2583.6,Public,15554
915,Equity Residential,,Financials,Real estate,yes,21,yes,no,,no,no,no,2400,23953.6,2874,5.1,835.4,7.5,20034.6,Public,23954
916,Helmerich & Payne,,Energy,"Oil and Gas Equipment, Services",yes,0,no,no,,no,no,no,7100,4156.6,2872.4,39.5,434.1,6143.3,4382,Public,4157
917,Korn Ferry,,Business Services,Diversified Outsourcing Services,yes,36,yes,no,,no,no,no,10697,3431.4,2863.8,8.3,209.5,-35.8,3574.4,Public,3431
918,PC Connection,,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,-42,no,yes,,no,no,no,2703,1738.1,2850.6,-8.8,83.3,-6.7,1188.4,Public,1738
919,Curtiss-Wright,,Aerospace & Defense,Aerospace & Defense,yes,56,yes,no,,no,no,no,8600,9797.4,2845.4,11.3,354.5,20.4,4621,Public,9797
920,SLM,,Financials,Diversified Financials,yes,0,no,no,,no,no,no,1740,4801.4,2839.4,20,581.4,24,29169.5,Public,4801
921,Benchmark Electronics,,Technology,Semiconductors and Other Electronic Components,yes,-12,no,yes,,no,no,no,12703,1073.6,2839,-1.6,64.3,-5.7,2274.8,Public,1074
922,American National Group,,Financials,"Insurance: Life, Health (stock)",yes,0,no,no,,no,no,no,1020,4463.9,2836,100.4,210.5,-82.8,79918.3,Private,4464
923,Pure Storage,,Technology,"Computers, Office Equipment",yes,10,yes,no,,no,no,no,5600,16892.1,2830.6,2.8,61.3,-16.1,3655.8,Public,16892
924,Knife River,,Materials,"Building Materials, Glass",yes,0,no,no,,no,no,no,4389,4589.9,2830.4,,182.9,,2599.8,Public,4590
925,Caleres,,Retailing,Specialty Retailers: Apparel,yes,-25,no,yes,,no,no,no,7150,1456.7,2817.3,-5.1,171.4,-5.7,1804.7,Public,1457
926,BrightView Holdings,,Business Services,Diversified Outsourcing Services,no,1,yes,no,,no,no,no,20700,1123.4,2816,1.5,-7.7,-155,3352.2,Public,1123
927,Cooper-Standard Holdings,,Motor Vehicles & Parts,Motor Vehicles & Parts,no,55,yes,no,,no,no,no,21500,284.8,2815.9,11.5,-202,,1872.3,Public,285
928,Primerica,,Financials,"Insurance: Life, Health (stock)",yes,12,yes,no,,no,no,no,3150,8777.3,2815.7,3.5,576.6,54.6,15027.7,Public,8777
929,F5,,Technology,Network and Other Communications Equipment,yes,16,yes,no,,no,no,no,6492,11149.1,2813.2,4.4,394.9,22.6,5248.3,Public,11149
930,Matador Resources,,Energy,"Mining, Crude-Oil Production",yes,-48,no,yes,,no,no,no,395,8331.6,2806.8,-8.2,846.1,-30.3,7727,Public,8332
931,Snowflake,,Technology,Internet Services and Retailing,no,0,no,no,,no,no,no,7004,54006.7,2806.5,35.9,-836.1,,8223.4,Public,54007
932,Viasat,,Technology,Network and Other Communications Equipment,yes,-9,no,yes,,no,no,no,6800,2267,2803.2,0.6,1084.8,,7730.3,Public,2267
933,California Resources,,Energy,"Mining, Crude-Oil Production",yes,9,yes,no,,no,no,no,970,3788.8,2801,3.5,564,7.6,3998,Public,3789
934,Peloton Interactive,,"Hotels, Restaurants & Leisure","Toys, Sporting Goods",no,-131,no,yes,,no,no,no,3541,1572,2800.2,-21.8,-1261.7,,2769.1,Public,1572
935,Roblox,,Media,Entertainment,no,0,no,no,,no,no,no,2457,24115.9,2799.3,25.8,-1151.9,,6168.1,Public,24116
936,Installed Building Products,,Engineering & Construction,Homebuilders,yes,14,yes,no,,no,no,no,10600,7339.2,2778.6,4.1,243.7,9.1,1981.3,Public,7339
937,First National of Nebraska,,Financials,Commercial Banks,yes,0,no,no,,no,no,no,4799,3265.1,2777.5,40.6,227.4,-29.5,31285.9,Public,3265
938,Guess,,Retailing,Specialty Retailers: Apparel,yes,10,yes,no,,no,no,no,12000,1689.9,2776.5,3.3,198.2,32.5,2590,Public,1690
939,ESAB,,Industrials,Industrial Machinery,yes,28,yes,no,,no,no,no,9000,6671.5,2774.8,7,205.3,-8.3,3828.6,Public,6672
940,Amica Mutual Insurance,,Financials,Insurance: Property and Casualty (Mutual),no,23,yes,no,,no,no,no,3597,,2772.5,6.6,-218.4,,6668,Private,
941,AvalonBay Communities,,Financials,Real estate,yes,27,yes,no,,no,no,no,3009,26383.6,2767.9,6.7,928.8,-18.3,20678.2,Public,26384
942,DocuSign,,Technology,Computer Software,yes,41,yes,no,,no,no,no,6840,12232.5,2761.9,9.8,74,,2971.3,Public,12233
943,Titan Machinery,,Retailing,Specialty Retailers: Other,yes,0,no,no,,no,no,no,3471,566.9,2758.4,24.9,112.4,10.4,1992.3,Public,567
944,ModivCare,,Health Care,Health Care: Pharmacy and Other Services,no,41,yes,no,,no,no,no,21200,332.9,2756.2,9.7,-204.5,,1767.3,Public,333
945,Hovnanian Enterprises,,Engineering & Construction,Homebuilders,yes,-42,no,yes,,no,no,no,1715,956.7,2756,-5.7,205.9,-8.7,2492.9,Public,957
946,Etsy,,Retailing,Internet Services and Retailing,yes,26,yes,no,,no,no,no,2420,8142.8,2748.4,7.1,307.6,,2685.4,Public,8143
947,Adams Resources & Energy,,Energy,Petroleum Refining,yes,-111,no,yes,,no,no,no,741,74.4,2745.3,-18.5,0.2,-93.9,361.3,Public,74
948,Surgery Partners,,Health Care,Health Care: Medical Facilities,no,30,yes,no,,no,no,no,12000,3776.7,2743.3,8,-11.9,,6876.7,Public,3777
949,Columbia Banking System,,Financials,Commercial Banks,yes,0,no,no,,no,no,no,5114,4050.2,2743.3,103.6,348.7,3.6,52173.6,Public,4050
950,Verisk,,Business Services,Financial Data Services,yes,-63,no,yes,,no,no,no,7500,33801.3,2728.2,-10.1,614.6,-35.6,4366.1,Public,33801
951,MasterBrand,,Materials,"Building Materials, Glass",yes,0,no,no,,no,no,no,12307,2380,2726.2,,182,,2381.7,Public,2380
952,Hawaiian Holdings,,Transportation,Airlines,no,2,yes,no,,no,no,no,7362,690.8,2716.3,2.8,-260.5,,3733.5,Public,691
953,AMC Networks,,Media,Entertainment,yes,-74,no,yes,,no,no,no,1900,528.4,2711.9,-12.4,215.5,2737.3,4969.8,Public,528
954,SBA Communications,,Financials,Real estate,yes,1,yes,no,,no,no,no,1787,23427.2,2711.6,3,501.8,8.8,10178.4,Public,23427
955,Americold Realty Trust,,Financials,Real estate,no,-51,no,yes,,no,no,no,14632,7071.9,2702.8,-7.3,-336.2,,7869.3,Public,7072
956,NewMarket,,Chemicals,Chemicals,yes,-24,no,yes,,no,no,no,2000,6085.6,2698.4,-2.4,388.9,39.1,2308.9,Public,6086
957,Park Hotels & Resorts,,Financials,Real estate,yes,30,yes,no,,no,no,no,90,3682.3,2698,7.9,97,-40.1,9419,Public,3682
958,Alexandria Real Estate Equities,,Financials,Real estate,yes,0,no,no,,no,no,no,568,22555.2,2690.3,19.2,103.6,-80.1,36771.4,Public,22555
959,Griffon,,Materials,"Building Materials, Glass",yes,-67,no,yes,,no,no,no,5700,3763,2685.2,-10.8,77.6,,2418.9,Public,3763
960,Air Lease,,Business Services,Equipment Leasing,yes,0,no,no,,no,no,no,163,5728.7,2685,15.9,614.6,,30452.3,Public,5729
961,UL Solutions,,Business Services,Diversified Outsourcing Services,yes,0,no,no,,no,no,no,15063,,2678,6.3,260,-11.3,2736,Public,
962,Teradyne,,Technology,Semiconductors and Other Electronic Components,yes,-90,no,yes,,no,no,no,6500,17260,2676.3,-15.2,448.8,-37.3,3486.8,Public,17260
963,OGE Energy,,Energy,Utilities: Gas and Electric,yes,-130,no,yes,,no,no,no,2329,6871.3,2674.3,-20.8,416.8,-37.4,12790.7,Public,6871
964,Bio-Rad Laboratories,,Technology,"Scientific,Photographic and  Control Equipment",no,-46,no,yes,,no,no,no,8030,9794,2671.3,-4.7,-637.3,,12299.1,Public,9794
965,Spire,,Energy,Utilities: Gas and Electric,yes,0,no,no,,no,no,no,3589,3374.3,2666.3,21.3,217.5,-1.5,10313.6,Public,3374
966,Gannett,,Media,"Publishing, Printing",no,-65,no,yes,,no,no,no,12800,363.1,2663.6,-9.6,-27.8,,2181.2,Public,363
967,Stericycle,,Business Services,Waste Management,no,-23,no,yes,,no,no,no,13948,4882.9,2659.3,-1.7,-21.4,-138.2,5352.6,Public,4883
968,Cullen/Frost Bankers,,Financials,Commercial Banks,yes,0,no,no,,no,no,no,5495,7228.9,2646.3,40.7,598,3.3,50845,Public,7229
969,Extra Space Storage,,Financials,Real estate,yes,0,no,no,,no,no,no,7618,31101.5,2645.1,32.7,803.2,-6.7,27456.3,Public,31102
970,REV Group,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,0,no,no,,no,no,no,6724,1144.3,2638,13.1,45.3,198,1410.4,Public,1144
971,ProFrac Holding,,Energy,"Oil and Gas Equipment, Services",no,26,yes,no,,no,no,no,2949,1334.2,2630,8.4,-97.7,-206.8,3070.7,Public,1334
972,Nordson,,Industrials,Industrial Machinery,yes,-3,no,yes,,no,no,no,7900,15701.6,2628.6,1.5,487.5,-5,5251.8,Public,15702
973,Summit Materials,,Materials,"Building Materials, Glass",yes,25,yes,no,,no,no,no,5300,7767.1,2619.5,8.6,285.9,5,5149.6,Public,7767
974,Valvoline,,Chemicals,Chemicals,yes,-221,no,yes,,no,no,no,10250,5778.5,2617.9,-33.4,1419.7,234.6,2889.9,Public,5779
975,Kontoor Brands,,Apparel,Apparel,yes,-19,no,yes,,no,no,no,13700,3359.5,2607.5,-0.9,231,-5.9,1645.4,Public,3360
976,Skyline Champion,,Engineering & Construction,Homebuilders,yes,0,no,no,,no,no,no,7700,4909.6,2606.6,18.1,401.8,62,1562.7,Public,4910
977,Teladoc Health,,Health Care,Health Care: Pharmacy and Other Services,no,22,yes,no,,no,no,no,5208,2522.3,2602.4,8.1,-220.4,,4392.4,Public,2522
978,Louisiana-Pacific,,Materials,"Building Materials, Glass",yes,-261,no,yes,,no,no,no,4100,6067.6,2581,-40.1,178,-83.6,2437,Public,6068
979,Universal,,"Food, Beverages & Tobacco",Tobacco,yes,0,no,no,,no,no,no,19600,1270.9,2569.8,22.2,124.1,43.3,2639.2,Public,1271
980,Consol Energy,,Energy,"Mining, Crude-Oil Production",yes,0,no,no,,no,no,no,2020,2480,2568.9,22.2,655.9,40.5,2675,Public,2480
981,Encore Wire,,Industrials,"Electronics, Electrical Equip.",yes,-91,no,yes,,no,no,no,1629,4147.7,2567.7,-14.9,372.4,-48.1,1967.9,Private,4148
982,Playtika Holding,,Media,Entertainment,yes,-22,no,yes,,no,no,no,3600,2613.1,2567,-1.9,235,-14.6,3175,Public,2613
983,Alliance Resource Partners,,Energy,"Mining, Crude-Oil Production",yes,17,yes,no,,no,no,no,3595,2567.6,2566.7,6.7,630.1,7.5,2788.4,Public,2568
984,Envista Holdings,,Health Care,Medical Products and Equipment,no,-14,no,yes,,no,no,no,12800,3674.3,2566.5,-0.6,-100.2,-141.2,6605.1,Public,3674
985,Shift4 Payments,,Business Services,Financial Data Services,yes,0,no,no,,no,no,no,3030,5694.7,2564.8,28.7,86.2,14.8,3387.8,Public,5695
986,Talen Energy,,Energy,Energy,no,0,no,no,,no,no,no,2000,5569.4,2554,-17.3,,,7121,Public,5569
987,Carpenter Technology,,Materials,Metals,yes,0,no,no,,no,no,no,4500,3529,2550.3,38.9,56.4,,3053.9,Public,3529
988,WEX,,Business Services,Financial Data Services,yes,0,no,no,,no,no,no,7200,9913.3,2548,8.4,266.6,32.3,13882.1,Public,9913
989,Old National Bancorp,,Financials,Commercial Banks,yes,0,no,no,,no,no,no,3940,5096,2540.2,37,582,35.9,49089.8,Public,5096
990,AGNC Investment,,Financials,Real estate,yes,0,no,no,,no,no,no,53,6887.3,2538,,155,,71596,Public,6887
991,Wabash National,,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,-5,no,yes,,no,no,no,6667,1349.9,2536.5,1.4,231.3,106,1362.8,Public,1350
992,MSCI,,Business Services,Financial Data Services,yes,0,no,no,,no,no,no,5794,44400.8,2528.9,12.5,1148.6,31.9,5518.2,Public,44401
993,Stagwell,,Business Services,"Advertising, marketing",yes,-46,no,yes,,no,no,no,10250,1670.4,2527.2,-6,0.1,-99.5,3767,Public,1670
994,Mativ Holdings,,Chemicals,Chemicals,no,0,no,no,,no,no,no,5400,1018.1,2516.9,16.1,-309.5,,2642.4,Public,1018
995,Belden,,Industrials,"Electronics, Electrical Equip.",yes,-36,no,yes,,no,no,no,8000,3804.9,2512.1,-4.1,242.8,-4.7,3240.2,Public,3805
996,Allegiant Travel,,Transportation,Airlines,yes,0,no,no,,no,no,no,6686,1375.3,2509.9,9,117.6,4617,4869.4,Public,1375
997,Dropbox,,Technology,Computer Software,yes,0,no,no,,no,no,no,2693,8358.8,2501.6,7.6,453.6,-18,2983.5,Public,8359
998,Exact Sciences,,Health Care,Pharmaceuticals,no,0,no,no,,no,no,no,6550,12536.5,2499.8,19.9,-204.1,,6471.3,Public,12537
999,BWX Technologies,,Aerospace & Defense,Aerospace & Defense,yes,0,no,no,,no,no,no,7800,9380.2,2496.3,11.8,245.8,3.2,2747.1,Public,9380
1000,Clear Channel Outdoor Hldgs.,,Business Services,"Advertising, marketing",no,-10,no,yes,,no,no,no,3900,798.1,2489,0.3,-310.9,,4722.5,Public,798
